Etapa,Epic,ID,Tarea,Descripcion,Dur.,Opt.,Prob.,Pes.,Te,Predecesores,Comienzo,Fin,Coordinacion,Estado,Ref Backlog,Notas
1. Conexion,Instalacion Servidores IA,IA-01,Instalacion y configuracion servidores IA en GCP,"Airflow + Langfuse; VectorDB + Platform DB; IA Platform",2d,2,2,2,2.0,—,23/02/2026,24/02/2026,—,Completada,"AI-001, AI-002, AI-003",
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-02,Configuracion bases de datos,"Config pgvector HNSW; Migraciones Alembic; Carga datos base; Verificacion rendimiento",2d,1.5,2,3,2.1,IA-01,02/03/2026,03/03/2026,—,En curso,AI-004,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-03,Configuracion pipeline de documentos,"Config adaptive chunker; Gemini embedding 768d; Procesamiento completo; Validacion calidad",3d,2,3,5,3.2,IA-02,04/03/2026,06/03/2026,—,En curso,AI-005,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-04,Configuracion plataforma IA y despliegue,"Endpoints API; Middleware seguridad (CORS, JWT, rate limit); Despliegue Docker + Helm; Langfuse; Monitoreo GCP",3d,2,3,5,3.2,IA-02,02/03/2026,04/03/2026,—,En curso,AI-006,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-05,Conexion con OpenText Content Server,"Cliente API Content Server; Prueba conectividad y acceso documentos",2d,0.5,1,3,1.3,—,10/03/2026,11/03/2026,Entregable #1,Pendiente,AI-007,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-06,Sincronizacion metadata y permisos xECM,"Tablas sincronizacion permisos; Sincronizacion roles y permisos xECM",1d,0.5,1,2,1.1,"IA-03, IA-04",20/03/2026,21/03/2026,Entregable #2,Pendiente,AI-008,
2. Realizacion,Config Infraestructura y Plataforma IA DEV,IA-07,Testing interno plataforma,"Pruebas integracion DEV; Pruebas auth; Correccion errores",1d,0.5,1,2,1.1,IA-06,25/03/2026,26/03/2026,—,Pendiente,AI-009,
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-08,Configuracion modelo de lenguaje (Gemini),"Seleccion modelo Gemini; System prompt; Parametros generacion",2d,1.5,2,3,2.1,IA-01,25/02/2026,26/02/2026,—,En curso,AI-010,
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-09,Configuracion pipeline RAG,"Busqueda hibrida Vector+BM25+RRF; Reranking Vertex AI; Streaming SSE",2d,1,2,4,2.2,"IA-08, IA-03",27/02/2026,03/03/2026,—,En curso,AI-011 (parte 1),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-10,Integracion y optimizacion pipeline RAG,"Sistema citaciones; LangGraph state machine; Cache semantico",2d,1,2,4,2.2,IA-09,04/03/2026,06/03/2026,—,En curso,AI-011 (parte 2),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-11,Desarrollo interfaz de usuario — estructura base,"Scaffold Next.js; Login JWT; Chat UI streaming SSE y markdown",3d,2.5,3,5,3.3,IA-04,07/03/2026,11/03/2026,—,Pendiente,AI-012 (parte 1),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-12,Desarrollo interfaz de usuario — integraciones,"Citaciones y feedback; Sidebar conversaciones",2d,1.5,2,3,2.1,IA-11,12/03/2026,13/03/2026,—,Pendiente,AI-012 (parte 2),
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-13,"Configuracion seguridad, compliance y personalizacion","Input guardrails (prompt injection, PII); Output guardrails; Temas prohibidos; Personalidad, tono y branding",3d,2,3,5,3.2,IA-08,03/03/2026,07/03/2026,Entregable #4,En curso,"AI-013, AI-014",
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-14,Configuracion observabilidad y monitoreo,"Instrumentacion traces Langfuse; Metricas RAGAS y costos; Dashboards monitoreo GCP",2d,1,2,3,2.0,IA-10,05/03/2026,07/03/2026,—,En curso,AI-015,
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-15,Procesamiento corpus documental,"Carga docs prueba; Validacion extraccion; Carga dataset definitivo; Verificacion cobertura indice",3d,2,3,5,3.2,IA-03,12/03/2026,16/03/2026,Entregable #3,Pendiente,AI-016,Bloqueada parcialmente por DEP-003
2. Realizacion,Desarrollo y Entrenamiento del Sistema IA,IA-16,Calibracion del sistema — parametros y respuestas,"Ajuste parametros busqueda (top-k, similarity, chunk overlap); Optimizacion respuestas segun personalidad",3d,1.5,3,6,3.3,"IA-10, IA-15",17/03/2026,19/03/2026,Entregable #5,Pendiente,AI-017 (parte 1),RUTA CRITICA
